mjtNum: double, ntrial per row: 50000

== candidate rules, double, unit scale
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
tiny_rotation   1e+00   double:current           4.0e-06   2.9e-09   4.2e-06   0.0e+00   4.7e-15   1.6e-11   3.68     8        0
tiny_rotation   1e+00   double:nocos             5.1e-08   4.6e-10   5.4e-08   0.0e+00   4.7e-15   6.9e-15 396.26   500    39626
tiny_rotation   1e+00   double:nocos+stable      1.2e-12   3.3e-15   1.5e-12   0.0e+00   4.7e-15   6.7e-15   5.19     9        0
tiny_rotation   1e+00   double:ttest(1)          5.1e-08   4.6e-10   5.4e-08   0.0e+00   4.7e-15   6.9e-15 396.26   500    39626
tiny_rotation   1e+00   double:ttest(1)+stable   1.2e-12   3.3e-15   1.5e-12   0.0e+00   4.7e-15   6.7e-15   5.19     9        0
tiny_rotation   1e+00   double:rel(4)            8.5e-15   8.9e-16   1.5e-15   0.0e+00   4.7e-15   7.0e-15   5.91    11        0
tiny_rotation   1e+00   double:rel(8)            8.0e-15   1.1e-15   2.3e-15   0.0e+00   4.7e-15   6.7e-15   5.84    10        0
tiny_rotation   1e+00   double:rel(16)           8.0e-15   1.2e-15   4.0e-15   0.0e+00   4.7e-15   6.7e-15   5.76    10        0
tiny_rotation   1e+00   double:rel(32)           1.0e-14   1.3e-15   7.4e-15   0.0e+00   4.7e-15   6.7e-15   5.69    10        0
tiny_rotation   1e+00   double:rel(8)+legacyhalf   5.1e-08   4.6e-10   5.4e-08   0.0e+00   4.7e-15   6.9e-15 453.23   500    45323
tiny_rotation   1e+00   double:progress          8.2e-15   8.3e-16   9.8e-16   0.0e+00   4.7e-15   6.7e-15   8.46    18        0
tiny_rotation   1e+00   double:rel(8)+progress   8.0e-15   1.1e-15   2.3e-15   0.0e+00   4.7e-15   6.7e-15   5.84    10        0
indefinite      1e+00   double:current           3.8e-06   2.6e-08   4.6e-06   0.0e+00   4.7e-15   6.2e-12   6.13     8        0
indefinite      1e+00   double:nocos             4.6e-08   6.9e-10   5.6e-08   0.0e+00   4.7e-15   4.8e-15 499.97   500    49997
indefinite      1e+00   double:nocos+stable      2.3e-12   3.0e-15   2.5e-12   0.0e+00   4.7e-15   8.8e-15   7.76    10        0
indefinite      1e+00   double:ttest(1)          4.6e-08   6.9e-10   5.6e-08   0.0e+00   4.7e-15   4.8e-15 499.97   500    49997
indefinite      1e+00   double:ttest(1)+stable   2.3e-12   3.0e-15   2.5e-12   0.0e+00   4.7e-15   8.8e-15   7.76    10        0
indefinite      1e+00   double:rel(4)            7.8e-15   2.0e-15   1.5e-15   0.0e+00   4.7e-15   8.8e-15   8.09    10        0
indefinite      1e+00   double:rel(8)            7.8e-15   2.0e-15   2.1e-15   0.0e+00   4.7e-15   8.8e-15   8.05    10        0
indefinite      1e+00   double:rel(16)           7.8e-15   2.1e-15   4.0e-15   0.0e+00   4.7e-15   8.8e-15   8.01    10        0
indefinite      1e+00   double:rel(32)           1.0e-14   2.2e-15   7.7e-15   0.0e+00   4.7e-15   8.8e-15   7.97    10        0
indefinite      1e+00   double:rel(8)+legacyhalf   4.6e-08   6.9e-10   5.6e-08   0.0e+00   4.7e-15   4.8e-15 500.00   500    50000
indefinite      1e+00   double:progress          7.8e-15   1.9e-15   1.1e-15   0.0e+00   4.7e-15   8.8e-15  10.30    19        0
indefinite      1e+00   double:rel(8)+progress   7.8e-15   2.0e-15   2.1e-15   0.0e+00   4.7e-15   8.8e-15   8.05    10        0

== candidate rules, float, unit scale
family          scale   solver                 recon_max recon_med  offd_max  axis_max  orth_max  eval_max it_avg it_mx     ncap
separated       1e+00   float:current            7.8e-04   2.9e-05   7.8e-04   6.3e-04   7.3e-07   1.3e-06   5.16     7        0
separated       1e+00   float:nocos              7.8e-04   2.9e-05   7.8e-04   6.3e-04   7.3e-07   1.3e-06 500.00   500    50000
separated       1e+00   float:nocos+stable       1.3e-06   3.3e-07   3.7e-07   1.2e-06   7.2e-07   1.3e-06 500.00   500    50000
separated       1e+00   float:ttest(1)           7.8e-04   2.9e-05   7.8e-04   6.3e-04   7.3e-07   1.3e-06 500.00   500    50000
separated       1e+00   float:ttest(1)+stable    1.5e-06   3.4e-07   4.0e-07   1.2e-06   7.8e-07   1.3e-06  13.60   500      672
separated       1e+00   float:rel(4)             1.5e-06   3.6e-07   6.5e-07   4.3e-06   7.8e-07   1.3e-06   6.34     8        0
separated       1e+00   float:rel(8)             2.0e-06   4.0e-07   1.1e-06   8.5e-06   7.8e-07   1.3e-06   6.23     8        0
separated       1e+00   float:rel(16)            2.7e-06   4.4e-07   2.0e-06   1.7e-05   7.8e-07   1.3e-06   6.12     8        0
separated       1e+00   float:rel(32)            4.5e-06   5.2e-07   3.9e-06   3.5e-05   7.8e-07   1.3e-06   6.00     8        0
separated       1e+00   float:rel(8)+legacyhalf   7.8e-04   2.9e-05   7.8e-04   6.3e-04   7.3e-07   1.3e-06 499.79   500    49979
separated       1e+00   float:progress           1.4e-06   3.4e-07   3.5e-07   1.0e-06   8.0e-07   1.3e-06   8.71    16        0
separated       1e+00   float:rel(8)+progress    2.0e-06   4.0e-07   1.1e-06   8.5e-06   7.8e-07   1.3e-06   6.23     8        0
near_pair       1e+00   float:current            3.7e-04   4.5e-07   4.5e-04   0.0e+00   7.3e-07   9.0e-05   2.24    10        0
near_pair       1e+00   float:nocos              3.7e-04   4.4e-07   4.5e-04   0.0e+00   7.1e-07   9.0e-05 500.00   500    50000
near_pair       1e+00   float:nocos+stable       1.4e-06   3.4e-07   4.2e-07   0.0e+00   7.3e-07   1.6e-06 500.00   500    50000
near_pair       1e+00   float:ttest(1)           3.7e-04   4.4e-07   4.5e-04   0.0e+00   7.3e-07   9.0e-05 379.49   500    37897
near_pair       1e+00   float:ttest(1)+stable    1.5e-06   3.4e-07   5.0e-07   0.0e+00   7.3e-07   1.6e-06  15.17   500     1169
near_pair       1e+00   float:rel(4)             1.5e-06   3.5e-07   6.8e-07   0.0e+00   7.3e-07   1.3e-06   2.39     5        0
near_pair       1e+00   float:rel(8)             2.0e-06   3.6e-07   1.1e-06   0.0e+00   7.3e-07   1.4e-06   2.33     5        0
near_pair       1e+00   float:rel(16)            2.9e-06   3.8e-07   2.1e-06   0.0e+00   7.3e-07   2.0e-06   2.27     5        0
near_pair       1e+00   float:rel(32)            5.4e-06   3.9e-07   3.9e-06   0.0e+00   7.3e-07   3.8e-06   2.21     5        0
near_pair       1e+00   float:rel(8)+legacyhalf   3.7e-04   4.6e-07   4.5e-04   0.0e+00   7.3e-07   9.0e-05  89.58   500     8788
near_pair       1e+00   float:progress           1.4e-06   3.4e-07   4.6e-07   0.0e+00   8.0e-07   1.3e-06   4.67   133        0
near_pair       1e+00   float:rel(8)+progress    2.0e-06   3.6e-07   1.1e-06   0.0e+00   7.3e-07   1.4e-06   2.33     5        0
near_triple     1e+00   float:current            1.5e-06   3.2e-07   5.9e-07   0.0e+00   7.5e-07   7.9e-07 276.13   500    24605
near_triple     1e+00   float:nocos              1.4e-06   3.2e-07   5.9e-07   0.0e+00   7.4e-07   7.9e-07 438.76   500    43776
