time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0.102,1.572287,1.90919967,0.0472387849,0.0219938935,0.813694349,0.0120584444,-0.0219938935,0.0102910201,-9.61121397e-07,9.60842058e-07,9.60842058e-07,2.40958491e-06,0.000569626262,-0.000483731349,-2.62628859e-06,1,0.00149067266,0.000692470387
0.104,1.5723835,1.90924461,0.0488538828,0.0227503822,0.796687477,0.0123764544,-0.0227503822,0.0106454081,-1.00483943e-06,1.00454878e-06,1.00454878e-06,2.57771767e-06,0.000604637853,-0.00051757989,-2.70773185e-06,1,0.0015871743,0.000737406154
0.106,1.57248319,1.90929104,0.050432727,0.0234903198,0.776684188,0.0126802704,-0.0234903198,0.0109920937,-1.04852714e-06,1.04822536e-06,1.04822536e-06,2.74761054e-06,0.000639500614,-0.000551795124,-2.77853511e-06,1,0.00168686176,0.000783834645
0.108,1.57258598,1.90933892,0.0519692922,0.0242108982,0.753643363,0.0129684866,-0.0242108982,0.0113297629,-1.09205265e-06,1.09173996e-06,1.09173996e-06,2.91821843e-06,0.000673963067,-0.000586167589,-2.83742523e-06,1,0.001789655,0.000831719254
0.11,1.57269179,1.90938822,0.053457477,0.0249092721,0.727530756,0.0132396942,-0.0249092721,0.0116570837,-1.13527964e-06,1.13495629e-06,1.13495629e-06,3.08841723e-06,0.000707760649,-0.000620471836,-2.88317223e-06,1,0.00189546185,0.000881017711
0.112,1.5728005,1.90943888,0.0548911131,0.0255825634,0.698313137,0.0134924709,-0.0255825634,0.0119727087,-1.17806765e-06,1.17773394e-06,1.17773394e-06,3.25700959e-06,0.000740616747,-0.00065446755,-2.91460362e-06,1,0.00200417786,0.000931682015
0.114,1.57291201,1.90949086,0.0562639654,0.0262278612,0.665957571,0.0137253791,-0.0262278612,0.0122752742,-1.22027234e-06,1.21992861e-06,1.21992861e-06,3.4227306e-06,0.000772244255,-0.000687900702,-2.93061818e-06,1,0.00211568614,0.000983658367
0.116,1.57302618,1.90954409,0.0575697356,0.0268422233,0.630435548,0.0139369756,-0.0268422233,0.0125634018,-1.2617457e-06,1.26139234e-06,1.26139234e-06,3.58425494e-06,0.000802348,-0.000720504949,-2.93020214e-06,1,0.00222985726,0.00103688711
0.118,1.57314288,1.9095985,0.0588020746,0.0274226821,0.591727847,0.014125825,-0.0274226821,0.0128357007,-1.30233635e-06,1.30197377e-06,1.30197377e-06,3.74020612e-06,0.000830627813,-0.000752003493,-2.91244826e-06,1,0.00234654913,0.00109130266
0.12,1.57326193,1.90965404,0.0599546033,0.0279662543,0.549826189,0.0142905073,-0.0279662543,0.0130907719,-1.34188975e-06,1.34151841e-06,1.34151841e-06,3.88916802e-06,0.000856781699,-0.000782111377,-2.87657628e-06,1,0.00246560691,0.00114683348
0.122,1.57338319,1.9097106,0.061020933,0.02846995,0.504731017,0.0144296183,-0.02846995,0.0133272132,-1.38024853e-06,1.37986893e-06,1.37986893e-06,4.02969771e-06,0.000880508771,-0.000810538055,-2.82195246e-06,1,0.00258686299,0.00120340208
0.124,1.57350646,1.90976813,0.0619946802,0.0289307802,0.45644797,0.0145417644,-0.0289307802,0.0135436221,-1.41725282e-06,1.4168655e-06,1.4168655e-06,4.16033873e-06,0.000901512031,-0.000836990045,-2.74810701e-06,1,0.00271013701,0.00126092494
0.126,1.57363156,1.90982651,0.0628694756,0.0293457602,0.404986152,0.0146255612,-0.0293457602,0.0137385976,-1.45274061e-06,1.45234613e-06,1.45234613e-06,4.27963461e-06,0.000919501365,-0.000861173642,-2.65474991e-06,1,0.00283523582,0.00131931263
0.128,1.57375828,1.90988567,0.0636389709,0.0297119134,0.350359304,0.014679638,-0.0297119134,0.0139107421,-1.48654801e-06,1.48614698e-06,1.48614698e-06,4.38614319e-06,0.000934197058,-0.000882797797,-2.54178663e-06,1,0.00296195359,0.0013784697
0.13,1.5738864,1.9099455,0.0642968505,0.0300262766,0.292588415,0.0147026453,-0.0300262766,0.0140586636,-1.51850964e-06,1.5181027e-06,1.5181027e-06,4.47845244e-06,0.000945333787,-0.000901577286,-2.40933453e-06,1,0.00309007181,0.0014382948
0.132,1.57401569,1.91000588,0.0648368474,0.0302859074,0.231703467,0.0146932624,-0.0302859074,0.0141809796,-1.54845891e-06,1.54804672e-06,1.54804672e-06,4.55519773e-06,0.000952664809,-0.000917236187,-2.25773951e-06,1,0.00321935941,0.00149868068
0.134,1.5741459,1.91006672,0.0652527612,0.0304878927,0.167743069,0.0146502005,-0.0304878927,0.0142763204,-1.57622841e-06,1.57581165e-06,1.57581165e-06,4.61508034e-06,0.000955966033,-0.0009295116,-2.08759169e-06,1,0.00334957287,0.00155951421
0.136,1.57427678,1.91012788,0.0655384741,0.0306293561,0.100752703,0.0145722028,-0.0306293561,0.0143433335,-1.60165025e-06,1.60122966e-06,1.60122966e-06,4.65688634e-06,0.000955039934,-0.000938157456,-1.89973891e-06,1,0.00348045635,0.0016206765
0.138,1.57440807,1.91018924,0.0656879637,0.030707464,0.0307832144,0.0144580436,-0.030707464,0.0143806856,-1.62455647e-06,1.62413279e-06,1.62413279e-06,4.67950564e-06,0.000949719443,-0.000942948345,-1.69529803e-06,1,0.00361174191,0.00168204296
0.14,1.57453948,1.91025069,0.0656953128,0.0307194302,-0.0421092868,0.0143065309,-0.0307194302,0.0143870656,-1.64477942e-06,1.64435342e-06,1.64435342e-06,4.68195117e-06,0.000939872022,-0.000943683395,-1.47566438e-06,1,0.00374314969,0.0017434834
0.142,1.57467071,1.91031206,0.0655547212,0.0306625218,-0.117862324,0.014116511,-0.0306625218,0.0143611865,-1.66215213e-06,1.6617246e-06,1.6617246e-06,4.66337858e-06,0.000925403942,-0.000940190243,-1.24252003e-06,1,0.00387438814,0.0018048621
0.144,1.57480148,1.91037324,0.065260519,0.030534065,-0.196405883,0.0138868743,-0.030534065,0.0143017892,-1.67650866e-06,1.67608042e-06,1.67608042e-06,4.62310643e-06,0.000906264626,-0.000932329126,-9.97840727e-07,1,0.00400515427,0.00186603796
0.146,1.57493146,1.91043407,0.0648071825,0.0303314531,-0.277662161,0.0136165594,-0.0303314531,0.0142076453,-1.68768456e-06,1.68725643e-06,1.68725643e-06,4.56063686e-06,0.000882450852,-0.000919997046,-7.43901069e-07,1,0.00413513392,0.00192686461
0.148,1.57506033,1.91049439,0.0641893487,0.0300521531,-0.361546303,0.0133045549,-0.0300521531,0.0140775611,-1.69551721e-06,1.69509004e-06,1.69509004e-06,4.475676e-06,0.000854010713,-0.000903131908,-4.83277175e-07,1,0.00426400211,0.00198719056
0.15,1.57518775,1.91055406,0.0634018293,0.0296937127,-0.447967418,0.0129499001,-0.0296937127,0.0139103803,-1.69984626e-06,1.69942092e-06,1.69942092e-06,4.36815398e-06,0.000821047356,-0.000881716572,-2.18846576e-07,1,0.00439142332,0.00204685937
0.152,1.57531338,1.91061291,0.0624396217,0.0292537651,-0.536829071,0.0125516871,-0.0292537651,0.0137049866,-1.70051405e-06,1.7000914e-06,1.7000914e-06,4.23824424e-06,0.000783722593,-0.000855782775,4.6214661e-08,1,0.00451705189,0.00210570978
0.154,1.57543686,1.91067078,0.0612979207,0.0287300353,-0.628029026,0.0121090635,-0.0287300353,0.0134603069,-1.69736596e-06,1.69694689e-06,1.69694689e-06,4.0863823e-06,0.000742260412,-0.000825414929,3.08437345e-07,1,0.00464053242,0.00216357591
0.156,1.57555783,1.91072749,0.05997213,0.0281203451,-0.721458672,0.0116212368,-0.0281203451,0.0131753132,-1.69025089e-06,1.6898363e-06,1.6898363e-06,3.91328385e-06,0.000696950321,-0.000790753809,5.64066996e-07,1,0.00476150013,0.00222028747
0.158,1.57567591,1.91078287,0.0584578756,0.0274226199,-0.817002733,0.0110874779,-0.0274226199,0.0128490266,-1.67902161e-06,1.67861241e-06,1.67861241e-06,3.71996215e-06,0.000648150404,-0.000752000083,8.09074265e-07,1,0.00487958135,0.00227566991
