time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2,q3
0.138,1.57440785,1.910189,0.0658169545,0.0307770285,0.033551494,0.0145676889,-0.0307770285,0.0144132622,-1.65282097e-06,1.65238991e-06,1.66716055e-06,8.68156157e-06,0.000958800918,-0.000947225483,-1.42064856e-06,3,0.00361152262,-0.00409002556,0.00168179895,-0.00216017547
0.14,1.57453952,1.91025058,0.0658298324,0.0307921215,-0.0393596453,0.0142837278,-0.0307921215,0.0144211099,-1.66924681e-06,1.66881447e-06,1.68358143e-06,8.68760031e-06,0.000940295408,-0.000948154748,-1.18015059e-06,3,0.0037431953,-0.00423906147,0.00174338242,-0.00223913297
0.142,1.57467104,1.91031211,0.0656947,0.0307382961,-0.115175537,0.0139557673,-0.0307382961,0.0143966783,-1.68261296e-06,1.68218018e-06,1.69691067e-06,8.65469575e-06,0.000916819946,-0.000944842844,-9.29290539e-07,3,0.00387470963,-0.00438791253,0.00180491037,-0.00231800918
0.144,1.57480209,1.91037344,0.0654057995,0.0306128369,-0.193821689,0.0135828228,-0.0306128369,0.0143386886,-1.69275821e-06,1.69232583e-06,1.70698593e-06,8.58155256e-06,0.000888395384,-0.000937145785,-6.70491165e-07,3,0.00400576237,-0.00453623548,0.00186624154,-0.00239662283
0.146,1.57493237,1.91043443,0.0649575403,0.0304131054,-0.275201187,0.0131640349,-0.0304131054,0.0142458976,-1.69952297e-06,1.69909186e-06,1.71364654e-06,8.46722047e-06,0.000855103328,-0.000924956979,-4.06489947e-07,3,0.00413603897,-0.00468367427,0.00192722935,-0.00247478584
0.148,1.57506154,1.91049492,0.0643445362,0.0301365565,-0.35920558,0.0126986349,-0.0301365565,0.0141171058,-1.70274989e-06,1.70232093e-06,1.71673411e-06,8.3111382e-06,0.000817087774,-0.000908212037,-1.40339452e-07,3,0.00426521395,-0.00482986052,0.00198772207,-0.00255230357
0.15,1.57518928,1.91055477,0.0635616192,0.0297807458,-0.445726925,0.0121859,-0.0297807458,0.0139511607,-1.70228442e-06,1.7018585e-06,1.71609308e-06,8.11317036e-06,0.000774555535,-0.00088689282,1.24602909e-07,3,0.00439295132,-0.00497441402,0.00204756299,-0.00262897507
0.152,1.57531523,1.91061379,0.0626038319,0.0293433263,-0.534665321,0.011625122,-0.0293433263,0.0137469552,-1.69797526e-06,1.69755328e-06,1.71157123e-06,7.87363779e-06,0.000727777186,-0.000861030796,3.84691238e-07,3,0.00451890502,-0.00511694317,0.00210659064,-0.00270459333
0.154,1.57543905,1.91067184,0.0614664099,0.0288220407,-0.62592893,0.0110156039,-0.0288220407,0.0135034244,-1.68967473e-06,1.68925761e-06,1.70302002e-06,7.5933447e-06,0.000677089624,-0.000830710028,6.36008225e-07,3,0.00464271934,-0.00525704548,0.00216463896,-0.0027789455
0.156,1.57556036,1.91072874,0.06014477,0.0282147164,-0.719427335,0.0103566833,-0.0282147164,0.013219543,-1.67723896e-06,1.67682762e-06,1.69029477e-06,7.27360622e-06,0.000622900335,-0.00079607022,8.74379417e-07,3,0.00476402924,-0.00539430798,0.0022215375,-0.00285181317
0.158,1.57567879,1.91078431,0.0586345147,0.0275192676,-0.815062088,0.00964777135,-0.0275192676,0.0128943266,-1.66052803e-06,1.6601234e-06,1.67325481e-06,6.91627899e-06,0.000565692391,-0.000757310088,1.09538441e-06,3,0.00488246077,-0.00552830761,0.00227711155,-0.00292297254
0.16,1.57579396,1.91083838,0.0569314539,0.0267337058,-0.912719185,0.0088883876,-0.0267337058,0.0125268367,-1.63940622e-06,1.63900924e-06,1.65176378e-06,6.5237945e-06,0.000506028829,-0.000714691023,1.29436744e-06,3,0.00499763141,-0.00565861167,0.00233118236,-0.00299219463
0.162,1.57590548,1.91089077,0.0550316391,0.0258561553,-1.01226685,0.00807817636,-0.0258561553,0.0121161879,-1.61374229e-06,1.6133539e-06,1.62568985e-06,6.09919253e-06,0.000444555286,-0.000668540767,1.46645092e-06,3,0.00510915059,-0.00578477838,0.00238356735,-0.00305924564
0.164,1.57601295,1.91094128,0.052931397,0.0248848694,-1.11355911,0.00721690012,-0.0248848694,0.0116615558,-1.58340993e-06,1.58303107e-06,1.59490623e-06,5.64615119e-06,0.000382000605,-0.000619256726,1.60655429e-06,3,0.00521662016,-0.00590635739,0.00243408033,-0.00312388719
0.166,1.57611596,1.91098973,0.0506273524,0.0238182411,-1.21644307,0.0063044163,-0.0238182411,0.0111621819,-1.5482882e-06,1.54791984e-06,1.55929165e-06,5.16901077e-06,0.000319175906,-0.000567308608,1.7094188e-06,3,0.00531963499,-0.00602289054,0.0024825318,-0.00318587669
0.168,1.57621411,1.91103593,0.0481164372,0.0226548072,-1.32076597,0.00534065093,-0.0226548072,0.0106173758,-1.50826203e-06,1.50790514e-06,1.5187308e-06,4.6727905e-06,0.000256973095,-0.000513240289,1.76963678e-06,3,0.0054177836,-0.00613391244,0.00252872922,-0.0032449677
0.17,1.57630698,1.91107968,0.0453958856,0.0213932474,-1.42637914,0.00432558278,-0.0213932474,0.0100265149,-1.46322258e-06,1.46287812e-06,1.47311478e-06,4.16319929e-06,0.000196363661,-0.000457671033,1.78168339e-06,3,0.00551064874,-0.00623895125,0.00257247731,-0.00330091031
0.172,1.57639413,1.91112078,0.0424632264,0.0200323805,-1.53313712,0.00325924488,-0.0200323805,0.00938904248,-1.4130675e-06,1.41273645e-06,1.42234142e-06,3.64664254e-06,0.000138398053,-0.000401296267,1.73994944e-06,3,0.005597808,-0.00633752928,0.00261357832,-0.00335345147
