group,precision,model,exact,axis,peak,control,dt,integrator,contacts,failed,trace,step_us,closure_max_mm,closure_rms_mm,settled_closure_mm,aperture_peak_mm,aperture_pp_mm,aperture_recovery_mm,pad_peak_mm,weld_angle_max_deg,equality_work_J,equality_abs_work_J,iterations_mean,contact_count_max
scale1,double,shadow,1,2,50,128,0.002,implicitfast,0,False,double_shadow_e1_a2_p50_c128_h0.002_implicitfast_contact0.csv,4.007472888888889,0.0957704755956,0.0884223613715984,0.08814888456220599,0.03814456922499737,0.07585298289999876,-3.392651021227877e-07,0.020077343966908114,0.10849223720030518,-7.258915110857345e-05,0.002149962604045667,1.0,0
noarmature,double,connect,0,0,0,128,0.002,implicitfast,0,False,double_connect_e0_a0_p0_c128_h0.002_implicitfast_contact0.csv,2.6600757777777777,0.0745794912453,0.07457949123134963,0.074579491154797,3.7055500334837177e-07,0.0,-3.7055499640947787e-07,1.9298873701177673e-07,0.0,-1.1750624995356593e-15,5.938874963983232e-12,0.8100949525237381,0
noarmature,double,connect,0,0,0,128,0.001,implicitfast,0,False,double_connect_e0_a0_p0_c128_h0.001_implicitfast_contact0.csv,2.788149777777778,0.0745794912385,0.07457949123454069,0.07457949122734099,3.70193500853766e-07,0.0,-3.701935077926599e-07,1.9281543605091866e-07,0.0,-3.768061077102774e-16,4.79391625272547e-12,0.8977755561109723,0
noarmature,double,connect,0,0,0,128,0.0005,implicitfast,0,False,double_connect_e0_a0_p0_c128_h0.0005_implicitfast_contact0.csv,2.6122835555555555,0.074579491234,0.07457949123274281,0.074579491263633,3.702332468380476e-07,0.0,-3.702332537769415e-07,1.928234090305432e-07,0.0,2.983376677233647e-14,4.143913477683842e-12,0.9300087489063867,0
noarmature,double,connect,0,0,50,128,0.002,implicitfast,0,False,double_connect_e0_a0_p50_c128_h0.002_implicitfast_contact0.csv,2.6097960000000002,0.127063192174,0.10914039715756838,0.074579491154797,0.0015996309449956003,0.001499729699996899,-3.7059459667698746e-07,0.08898740364613016,0.0,-0.0036098940279055023,0.006966122805531182,1.0,0
noarmature,double,connect,0,0,50,128,0.001,implicitfast,0,False,double_connect_e0_a0_p50_c128_h0.001_implicitfast_contact0.csv,2.7364845555555557,0.127268404118,0.10929017559746798,0.07457949122734099,0.0016159515065020114,0.0015287120000012644,-3.7023480115028207e-07,0.08935916252989821,0.0,-0.003479825029714333,0.006952876617400014,1.0,0
noarmature,double,connect,0,0,50,128,0.0005,implicitfast,0,False,double_connect_e0_a0_p50_c128_h0.0005_implicitfast_contact0.csv,2.577380388888889,0.12737197246999998,0.10936405906753999,0.074579491263633,0.001624913466752309,0.00154460369999887,-3.702741516176111e-07,0.089547321942892,0.0,-0.0034137686732925374,0.006946352039374871,1.0,0
noarmature,double,connect,0,2,50,128,0.002,implicitfast,0,False,double_connect_e0_a2_p50_c128_h0.002_implicitfast_contact0.csv,2.605274666666667,0.0905669853779,0.07550682917477865,0.074579491154797,0.07347511834499693,0.14626229309999683,-3.623946004394085e-07,0.03790842780361378,0.0,-0.00032198612085748224,0.004678654733100151,1.0,0
noarmature,double,connect,0,2,50,128,0.001,implicitfast,0,False,double_connect_e0_a2_p50_c128_h0.001_implicitfast_contact0.csv,2.774691888888889,0.0906479776828,0.07551643153679914,0.07457949122734099,0.07395359210649738,0.14720962369999674,-3.6205668324518214e-07,0.038154148497164454,0.0,-0.0003153808582389637,0.004701429195476708,1.0,0
noarmature,double,connect,0,2,50,128,0.0005,implicitfast,0,False,double_connect_e0_a2_p50_c128_h0.0005_implicitfast_contact0.csv,2.827214111111111,0.09068881686869999,0.07552132413172388,0.074579491263633,0.07419762246675676,0.14769277200000347,-3.621038330292592e-07,0.038279490352627024,0.0,-0.00031199799695176816,0.004712912653741043,1.0,0
