time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0.152,1.57531527,1.9106139,0.0626045507,0.0293278674,-0.534685362,0.0116076785,-0.0293278674,0.0137397132,-1.67993899e-06,1.6795215e-06,1.69063102e-06,7.86960075e-06,0.000726693497,-0.000860123807,-4.35443946e-08,2,0.00451893991,-0.0051168806,0.00210669717
0.154,1.57543908,1.91067192,0.0614670854,0.0288058005,-0.625951665,0.010997468,-0.0288058005,0.0134958159,-1.67814746e-06,1.6777332e-06,1.68869615e-06,7.5881085e-06,0.000675982303,-0.000829774145,2.12593399e-07,2,0.00464275561,-0.00525698966,0.00216471359
0.156,1.57556039,1.91072878,0.0601454025,0.0281977063,-0.71944575,0.0103378993,-0.0281977063,0.0132115734,-1.67252233e-06,1.67211215e-06,1.68289906e-06,7.26719918e-06,0.000621777113,-0.000795110641,4.62781177e-07,2,0.00476406681,-0.00539425924,0.00222157868
0.158,1.57567883,1.91078432,0.0586351163,0.027501506,-0.815072136,0.00962837548,-0.027501506,0.0128860045,-1.6629188e-06,1.66251359e-06,1.67309428e-06,6.90874841e-06,0.000564560916,-0.000756332834,7.03135724e-07,2,0.00488249956,-0.0055282663,0.00227711777
0.16,1.575794,1.91083835,0.0569320417,0.0267152148,-0.912721437,0.00886840005,-0.0267152148,0.0125181724,-1.64919573e-06,1.64879638e-06,1.65914002e-06,6.51520554e-06,0.000504896122,-0.000713702703,9.29520058e-07,2,0.00499767139,-0.00565857819,0.00233115214
0.162,1.57590552,1.9108907,0.0550322257,0.0258369566,-1.01226584,0.00805760238,-0.0258369566,0.0121071916,-1.63121584e-06,1.63082324e-06,1.64089843e-06,6.08962698e-06,0.000443427793,-0.000667548327,1.13755324e-06,2,0.00510919174,-0.00578475313,0.00238349926
0.164,1.57601299,1.91094118,0.0529319844,0.0248649813,-1.1135609,0.00719573866,-0.0248649813,0.011652236,-1.60884612e-06,1.60846118e-06,1.61823597e-06,5.63570712e-06,0.000380884727,-0.000618267295,1.32262364e-06,2,0.00521666248,-0.00590634084,0.00243397298
0.166,1.57611601,1.91098959,0.0506279313,0.0237976784,-1.21645225,0.00628267167,-0.0237976784,0.0111525456,-1.58195819e-06,1.58158182e-06,1.59102382e-06,5.1578035e-06,0.000318078669,-0.000566329497,1.47990695e-06,2,0.00531967848,-0.00602288309,0.00248238383
0.168,1.57621416,1.91103574,0.0481169912,0.0226335836,-1.32078366,0.00531834167,-0.0226335836,0.0106074294,-1.55042877e-06,1.5500619e-06,1.55913833e-06,4.66095466e-06,0.000255902599,-0.000512279107,1.60438893e-06,2,0.00541782821,-0.00613391451,0.0025285393
0.17,1.57630702,1.91107945,0.0453963991,0.0213713787,-1.42640273,0.00430274384,-0.0213713787,0.0100162657,-1.51414005e-06,1.5137836e-06,1.52246139e-06,4.15089106e-06,0.000195329076,-0.000456735825,1.69089165e-06,2,0.00551069442,-0.00623896318,0.00257224413
