angle_difference_from_tendon_rad,closure,compliance_m_N,damping,decay_s,deflection_m,deflection_rms_m,drive_kv,dt,duration,energy_change_J,energy_initial_J,equality_work_J,exact,failed,frequency,group,impedance,input_torque_Nm,input_work_J,inverse_dynamics_error_Nm,load,mass,max_closure_m,mode,num_bytes,output_work_J,precision,reference_rms_Nm,rotation,rows_mode,samples,static_error_Nm,static_reference_Nm,step_seconds,theta,timeconst,torque_difference_from_tendon_Nm,trace,work_balance_error_J
,connect,1.7033134584500002e-05,1,0.019753686026908142,1.374651503738311e-14,1.1891457886959953e-05,5,0.0005,2,1.20267334037e-32,0.0,-1.716620063848689e-05,1,False,1,calibration,0.9995021293163213,9.585975717355283e-13,-1.8621953768446183e-05,0.0003988355620446484,1,0.002,2.50517517904e-05,calibrate,8,3.452469773738588e-05,double,0.06618146184826539,90,1,4001,9.585975717355283e-13,0.0,0.003978346,90,0.01000148567760708,,,1.263456669547197e-06
,connect,1.7033134584500002e-05,1,0.019753686026908142,1.374651503738311e-14,1.1891457886959953e-05,5,0.0005,2,1.20267334037e-32,0.0,-1.716620063848689e-05,1,False,1,calibration,0.9995021293163213,9.585975717355283e-13,-1.8621953768446183e-05,0.0003988355620446484,1,0.002,2.50517517904e-05,calibrate,8,3.452469773738588e-05,double,0.06618146184826539,90,1,4001,9.585975717355283e-13,0.0,0.003828973,90,0.01000148567760708,,,1.263456669547197e-06
,connect,1.75517202744e-05,1,0.019753665371665893,1.3792833541967824e-14,1.2253741799310906e-05,5,0.0005,2,1.19348993163e-32,0.0,-1.7690946633645584e-05,1,False,1,calibration,0.9994869668966808,9.65555993272951e-13,-1.8615439892621055e-05,0.0003956575886550842,1,0.002,2.5814558725e-05,calibrate,8,3.504329876848264e-05,double,0.06618140204802908,90,1,4001,9.65555993272951e-13,0.0,0.003862781,90,0.01000148567760708,,,1.2630877577839986e-06
,connect,1.80860899454e-05,1,0.02036286638763239,2.0380186427359332e-14,1.2622514493749376e-05,5,0.0005,2,3.6613338369e-35,0.0,-1.823303870991541e-05,1,False,1,calibration,0.9995021293163213,1.305160042448653e-12,-1.860713008564479e-05,0.00038702412666124435,1,0.002,2.66005859225e-05,calibrate,8,3.5577684247604596e-05,double,0.06618128001026818,90,1,4001,1.305160042448653e-12,0.0,0.003901507,90,0.01030607626276138,,,1.262484547955605e-06
,connect,1.13979388182e-05,1,0.02095559615774737,1.3091216999329124e-14,7.964452427930442e-06,5,0.0005,2,6.6569467197e-32,0.0,-1.1464085827424438e-05,1,False,1,calibration,0.9996667410352379,8.722791695903889e-13,-1.8693346077837566e-05,0.00043381666005047457,1,0.002,1.6763072472e-05,calibrate,8,2.8889335272701377e-05,double,0.06618211817511344,90,1,4001,8.722791695903889e-13,0.0,0.003960047,90,0.009999482331361774,,,1.2680966325606268e-06
,connect,1.13979388182e-05,1,0.02095559615774737,1.3091216999329124e-14,7.964452427930442e-06,5,0.0005,2,6.6569467197e-32,0.0,-1.1464085827424438e-05,1,False,1,calibration,0.9996667410352379,8.722791695903889e-13,-1.8693346077837566e-05,0.00043381666005047457,1,0.002,1.6763072472e-05,calibrate,8,2.8889335272701377e-05,double,0.06618211817511344,90,1,4001,8.722791695903889e-13,0.0,0.003947216,90,0.009999482331361774,,,1.2680966325606268e-06
,connect,1.17449903574e-05,1,0.02063594075975759,1.3132428478000482e-14,8.205537995147701e-06,5,0.0005,2,2.06177512161e-35,0.0,-1.1815255547678838e-05,1,False,1,calibration,0.9996565917887802,8.779421524224577e-13,-1.868891887430428e-05,0.0004316444537842663,1,0.002,1.72735246356e-05,calibrate,8,2.9236397077969222e-05,double,0.0661820774715236,90,1,4001,8.779421524224577e-13,0.0,0.003863974,90,0.009999482331361774,,,1.2677773440138955e-06
,connect,1.21026070234e-05,1,0.02110043814620471,1.8826984415906204e-14,8.452014160551148e-06,5,0.0005,2,1.85940272745e-32,0.0,-1.2180593019745477e-05,1,False,1,calibration,0.9996667410352379,1.143433053989257e-12,-1.868070717982825e-05,0.00042235794994675206,1,0.002,1.77995174421e-05,calibrate,8,2.9594024322568273e-05,double,0.06618193602455802,90,1,4001,1.143433053989257e-12,0.0,0.003935544,90,0.010304011905539824,,,1.2672758770054542e-06
,connect,1.1398182840099997e-05,1,0.01975035709911689,7.0897065995706e-15,7.967347133229202e-06,5,0.0005,2,4.50910815898e-32,0.0,-1.1458867881405594e-05,1,False,1,calibration,0.9996337190084423,5.413298851148825e-13,-1.8699062120685998e-05,0.00044525601049405923,1,0.002,1.67634333653e-05,calibrate,8,2.8889579301810807e-05,double,0.06618228402297735,90,1,4001,5.413298851148825e-13,0.0,0.003809171,90,0.009538188412192611,,,1.2683507002807854e-06
,connect,1.1398182840099997e-05,1,0.01975035709911689,7.0897065995706e-15,7.967347133229202e-06,5,0.0005,2,4.50910815898e-32,0.0,-1.1458867881405594e-05,1,False,1,calibration,0.9996337190084423,5.413298851148825e-13,-1.8699062120685998e-05,0.00044525601049405923,1,0.002,1.67634333653e-05,calibrate,8,2.8889579301810807e-05,double,0.06618228402297735,90,1,4001,5.413298851148825e-13,0.0,0.003907454,90,0.009538188412192611,,,1.2683507002807854e-06
