time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1
0.266,1.57064271,1.90839512,-0.00354778565,0.00125116423,1.39828638,0.0945468177,-0.2,0.093517019,-8.0508903e-06,8.04835142e-06,8.04835142e-06,1.04876332e-08,-0.000335431843,-0.000250232847,0.00057969405,1,-0.000153615779,-0.000112085189
0.268,1.57063655,1.90839719,-0.00282764792,0.00088792433,1.05049212,0.0940275822,-0.2,0.0935167799,-7.0599962e-06,7.05776958e-06,7.05776958e-06,6.11243522e-09,-0.000265876898,-0.000177584866,0.000439452884,1,-0.000159778685,-0.000110012398
0.27,1.5706316,1.90839841,-0.00228198405,0.00044312446,0.808408991,0.0937745878,-0.2,0.0935165877,-6.35248772e-06,6.35048404e-06,6.35048404e-06,3.13473388e-09,-0.000213992114,-8.86248921e-05,0.000300243472,1,-0.000164729335,-0.000108789698
0.272,1.57062758,1.90839876,-0.00185868949,1.70939181e-05,0.635838029,0.0936675224,-0.2,0.0935164318,-5.90744316e-06,5.90557967e-06,5.90557967e-06,1.73280692e-09,-0.000174098839,-3.41878362e-06,0.000176314819,1,-0.00016874815,-0.000108443603
0.274,1.57062429,1.90839833,-0.00152352253,-0.000345194847,0.509088361,0.0936350296,-0.2,0.0935163042,-5.68615874e-06,5.68436484e-06,5.68436484e-06,1.48166708e-09,-0.000142655078,6.90389694e-05,7.31276721e-05,1,-0.000172034834,-0.000108873974
0.276,1.57062159,1.90839727,-0.00125378844,-0.000629445363,0.413115389,0.0936368692,-0.2,0.0935161994,-5.64518614e-06,5.64340495e-06,5.64340495e-06,1.84536531e-09,-0.000117400824,0.000125889073,-8.61230778e-06,1,-0.000174735854,-0.000109932058
0.278,1.57061936,1.90839574,-0.00103409702,-0.000837125332,0.338434809,0.0936514568,-0.2,0.093516113,-5.74299077e-06,5.74117849e-06,5.74117849e-06,2.40612687e-09,-9.68446919e-05,0.000167425066,-7.05659024e-05,1,-0.000176961943,-0.000111461957
0.28,1.57061753,1.90839388,-0.000853672189,-0.000976914499,0.279013312,0.0936679358,-0.2,0.0935160417,-5.94293188e-06,5.94105628e-06,5.94105628e-06,2.91204495e-09,-7.99617117e-05,0.0001953829,-0.000115392666,1,-0.00017879915,-0.000113320705
0.282,1.57061601,1.90839182,-0.0007046927,-0.00106003116,0.230927257,0.093681394,-0.2,0.0935159828,-6.21423015e-06,6.21226868e-06,6.21226868e-06,3.24743172e-09,-6.60165944e-05,0.000212006232,-0.000146002655,1,-0.000180315861,-0.00011538638
0.284,1.57061476,1.90838964,-0.000581278945,-0.00109782349,0.191541644,0.0936900808,-0.2,0.0935159343,-6.53190155e-06,6.52983955e-06,6.52983955e-06,3.3854786e-09,-5.44600713e-05,0.000219564699,-0.00016517398,1,-0.000181567372,-0.000117559918
0.286,1.57061373,1.90838744,-0.00047887229,-0.00110063744,0.159017512,0.093693834,-0.2,0.0935158942,-6.87621105e-06,6.8740401e-06,6.8740401e-06,3.34755685e-09,-4.48673809e-05,0.000220127488,-0.000175379749,1,-0.000182598945,-0.000119763808
0.288,1.57061288,1.90838526,-0.000393849048,-0.00107737865,0.132018733,0.0936932157,-0.2,0.0935158613,-7.23194748e-06,7.22966397e-06,7.22966397e-06,3.17517666e-09,-3.69009838e-05,0.000215475731,-0.000178730271,1,-0.000183447941,-0.000121939463
0.29,1.57061218,1.90838316,-0.000323274121,-0.00103543486,0.109537167,0.0936890528,-0.2,0.0935158342,-7.58767579e-06,7.58527971e-06,7.58527971e-06,2.91332491e-09,-3.02872462e-05,0.000207086972,-0.000176975343,1,-0.000184145364,-0.000124044205
0.292,1.57061161,1.90838115,-0.000264738186,-0.000980772356,0.0907872376,0.093682205,-0.2,0.093515812,-7.93504162e-06,7.93253562e-06,7.93253562e-06,2.60197432e-09,-2.4801257e-05,0.000196154471,-0.000171535136,1,-0.000184717028,-0.000126048333
0.294,1.57061114,1.90837927,-0.000216245567,-0.000918105363,0.075141041,0.0936734568,-0.2,0.0935157939,-8.26815925e-06,8.26554781e-06,8.26554781e-06,2.27274134e-09,-2.02564697e-05,0.000183621073,-0.000163542286,1,-0.000185184458,-0.000127932481
0.296,1.57061076,1.90837752,-0.000176133594,-0.000851085147,0.0620871911,0.0936634756,-0.2,0.0935157791,-8.58309028e-06,8.58037915e-06,8.58037915e-06,1.94844636e-09,-1.64972846e-05,0.000170217029,-0.000153885995,1,-0.000185565615,-0.000129685357
0.298,1.57061045,1.9083759,-0.000143012203,-0.000782482659,0.0512036873,0.0936528037,-0.2,0.093515767,-8.87740962e-06,8.87460533e-06,8.87460533e-06,1.64410026e-09,-1.33934938e-05,0.000156496532,-0.000143253564,1,-0.000185875485,-0.000131301843
0.3,1.5706102,1.90837442,-0.000115717057,-0.000714352961,0.0421392254,0.0936418661,-0.2,0.0935157573,-9.14984981e-06,9.14695927e-06,9.14695927e-06,1.36843224e-09,-1.08359612e-05,0.000142870592,-0.000132167422,1,-0.000186126562,-0.000132781442
0.302,1.57061,1.90837307,-9.32721505e-05,-0.000648177445,0.0345997236,0.0936309857,-0.2,0.0935157494,-9.40001315e-06,9.39704341e-06,9.39704341e-06,1.12547517e-09,-8.7331634e-06,0.000129635489,-0.000121017017,1,-0.00018632925,-0.000134127031
0.304,1.57060983,1.90837186,-7.4859342e-05,-0.000584983759,0.0283381884,0.0936203993,-0.2,0.0935157431,-9.62814133e-06,9.62509935e-06,9.62509935e-06,9.15974825e-10,-7.00836149e-06,0.000116996752,-0.000110085721,1,-0.000186492205,-0.000135343867
0.306,1.5706097,1.90837076,-5.97931735e-05,-0.000525445175,0.0231468128,0.0936102739,-0.2,0.093515738,-9.83493288e-06,9.83182542e-06,9.83182542e-06,7.38536422e-10,-5.59725535e-06,0.000105089035,-9.95731542e-05,1,-0.000186622616,-0.000136438802
0.308,1.5706096,1.90836978,-4.74998551e-05,-0.00046996186,0.0188506394,0.0936007205,-0.2,0.093515734,-1.00213999e-05,1.00182334e-05,1.00182334e-05,5.90499787e-10,-4.44602066e-06,9.39923721e-05,-8.96135189e-05,1,-0.000186726442,-0.000137419684
0.31,1.57060952,1.90836891,-3.74996159e-05,-0.00041872665,0.0153023707,0.0935918066,-0.2,0.0935157308,-1.01887572e-05,1.01855377e-05,1.01855377e-05,4.68572626e-10,-3.50965679e-06,8.374533e-05,-8.02904976e-05,1,-0.000186808617,-0.000138294893
