time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2,q3
0.144,1.57079633,1.9085072,1.88970788e-16,-1.15761385e-15,-3.65863467e-13,-4.14103604e-16,0,-0,-4.4408921e-17,0,1.17756934e-16,3.27452292e-32,-7.82534842e-32,-0,-1.1686822e-29,3,-1.06150067e-18,-1.51208221e-16,-1.5575591e-16,-9.72201854e-17
0.146,1.57079633,1.9085072,-7.22055104e-18,-9.21840154e-16,-6.14740913e-14,5.23574223e-16,0,-0,-4.4408921e-17,0,1.17756934e-16,1.51876488e-32,-3.7804944e-33,-0,-5.84504226e-30,3,-9.74942935e-19,-1.57154982e-16,-1.57805103e-16,-1.00341093e-16
0.148,1.57079633,1.9085072,8.31790292e-17,-8.52812251e-16,-1.7788163e-13,2.79004428e-17,0,-0,-4.4408921e-17,0,1.17756934e-16,2.71682946e-32,2.32073175e-33,-0,-1.04276964e-29,3,-8.87591178e-19,-1.63165391e-16,-1.59483282e-16,-1.0387602e-16
0.15,1.57079633,1.9085072,-5.90923694e-18,-6.35406865e-16,-1.60799574e-14,4.58196691e-16,0,-0,-4.4408921e-17,0,1.17756934e-16,1.20035726e-32,-2.70759281e-33,-0,-4.76849658e-30,3,-8.57301012e-19,-1.68719784e-16,-1.60927141e-16,-1.07352102e-16
0.152,1.57079633,1.9085072,5.34139379e-17,-5.45742658e-16,-8.15532254e-14,1.33021904e-16,0,-0,-4.4408921e-17,0,1.17756934e-16,2.30825513e-32,7.10522372e-33,-0,-9.17357431e-30,3,-8.00183187e-19,-1.74373679e-16,-1.62038192e-16,-1.11245639e-16
0.154,1.57079633,1.9085072,1.44865149e-17,-3.89819209e-16,-3.48917315e-15,3.04573448e-16,0,-0,-4.4408921e-17,0,1.17756934e-16,9.97133057e-33,4.41220777e-33,-0,-4.00304706e-30,3,-7.54012044e-19,-1.79644559e-16,-1.62936549e-16,-1.15104576e-16
0.156,1.57079633,1.9085072,2.28231603e-17,-2.86559079e-16,4.56994981e-14,2.4236337e-16,0,-0,-4.4408921e-17,0,1.17756934e-16,2.04922823e-32,5.53149805e-33,-0,-8.03177274e-30,3,-7.12958344e-19,-1.86224777e-16,-1.6359205e-16,-1.20206724e-16
0.158,1.57079633,1.9085072,4.87668381e-17,-1.62111125e-16,9.98349691e-15,7.09557425e-17,0,-0,-4.4408921e-17,0,1.17756934e-16,9.43954679e-33,3.46028721e-33,-0,-3.16843403e-30,3,-6.29579866e-19,-1.92011488e-16,-1.63996723e-16,-1.23727024e-16
0.16,1.57079633,1.9085072,-7.02508049e-18,1.1910083e-17,1.45581506e-13,3.78370615e-16,0,-0,-4.4408921e-17,0,1.17756934e-16,1.91073667e-32,-2.65808403e-33,0,-7.29828012e-30,3,-6.86490426e-19,-1.9847639e-16,-1.64128183e-16,-1.289738e-16
0.162,1.57079633,1.9085072,6.79037927e-16,-1.05988356e-15,2.58359473e-13,-3.45437586e-15,0,-0,-4.4408921e-17,0,1.16317057e-16,1.03827237e-32,-2.34565222e-30,-0,7.22751208e-30,3,1.18372459e-19,-2.04085918e-16,-1.65084047e-16,-1.31767613e-16
