time,input_angle,output_angle,input_velocity,output_velocity,input_acceleration,input_torque,output_torque,static_reference_torque,deflection_m,span_error_m,closure_m,kinetic_J,input_power_W,output_power_W,equality_power_W,rows,q0,q1,q2
0.112,1.57079633,1.9085072,-1.875242e-16,4.65629465e-16,-2.48222609e-14,1.35850202e-16,0,-0,4.4408921e-17,-5.55111512e-17,2.37342632e-16,2.48135282e-33,-2.54752005e-32,0,3.23226215e-30,2,1.6035416e-18,-7.68189686e-16,2.78797945e-16
0.114,1.57079633,1.9085072,-1.77820144e-16,6.14778401e-16,5.80558966e-14,2.73164881e-16,0,-0,4.4408921e-17,-5.55111512e-17,2.37342632e-16,1.2729583e-32,-4.85742185e-32,0,6.40141085e-30,2,1.23187168e-18,-6.49955439e-16,2.79906505e-16
0.116,1.57079633,1.9085072,6.04125508e-16,-7.58234603e-16,1.16240323e-12,-3.78294512e-15,0,-0,4.4408921e-17,-5.55111512e-17,1.86443315e-16,2.47921109e-32,-2.28537365e-30,-0,1.55460367e-29,2,1.52463517e-18,-4.58533954e-16,2.80248374e-16
0.118,1.57079633,1.9085072,1.74908833e-15,-7.61431903e-15,-4.09867866e-12,-1.08690846e-14,0,-0,4.4408921e-17,-2.77555756e-17,1.24506265e-16,1.84204887e-31,-1.90109891e-29,-0,1.2254467e-28,2,4.24728594e-18,-2.3549775e-16,2.71093883e-16
0.12,1.57079633,1.9085072,-1.43401307e-15,-6.26825986e-15,-1.31160606e-12,5.50509854e-15,0,-0,4.4408921e-17,-2.77555756e-17,5.63547556e-17,1.30801752e-31,-7.89438326e-30,-0,-8.44054135e-29,2,3.32993362e-18,-7.16180699e-18,2.55602935e-16
0.122,1.57079633,1.9085072,-7.23479079e-16,-2.94652328e-15,1.13632822e-12,3.0817735e-15,0,-0,4.4408921e-17,-2.77555756e-17,9.71445147e-18,4.03935342e-32,-2.22959865e-30,-0,-1.44848782e-29,2,1.07124379e-18,1.91890615e-16,2.47920542e-16
0.124,1.57079633,1.9085072,-2.73634769e-16,-1.78939799e-15,3.81766356e-13,1.23676221e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.66533454e-17,1.94837224e-32,-3.38421141e-31,-0,-5.39084412e-30,2,2.62823268e-19,3.50330268e-16,2.43626296e-16
0.126,1.57079633,1.9085072,7.86389692e-16,-3.80294353e-15,6.33975751e-13,-4.427389e-15,0,-0,4.4408921e-17,-2.77555756e-17,5.79553434e-17,4.40365564e-32,-3.48165308e-30,-0,4.27973806e-29,2,9.90881082e-19,4.6719149e-16,2.38413728e-16
0.128,1.57079633,1.9085072,1.30634397e-15,-8.65581954e-15,1.54732814e-12,-8.02113381e-15,0,-0,4.4408921e-17,-2.77555756e-17,1.11446499e-16,2.02175528e-31,-1.04783598e-29,-0,1.88085412e-28,2,2.97882795e-18,5.35736835e-16,2.25266006e-16
0.13,1.57079633,1.9085072,1.54027872e-15,-1.6712661e-14,-7.38013285e-13,-1.07632784e-14,0,-0,4.4408921e-17,-2.77555756e-17,1.11446499e-16,7.46533298e-31,-1.65784486e-29,-0,3.73550792e-28,2,6.12376965e-18,5.48627243e-16,1.97993077e-16
